"Population by Five Years Age Group","Number"
"0-4",""
"Female","2504"
"Male","2559"
"10-14",""
"Female","2363"
"Male","2676"
"15-19",""
"Female","1485"
"Male","1721"
"20-24",""
"Female","1410"
"Male","1362"
"25-29",""
"Female","1345"
"Male","1321"
"30-34",""
"Female","1269"
"Male","1154"
"35-39",""
"Female","1027"
"Male","1141"
"40-44",""
"Female","883"
"Male","884"
"45-49",""
"Female","677"
"Male","785"
"50-54",""
"Female","561"
"Male","627"
"55-59",""
"Female","517"
"Male","518"
"5-9",""
"Female","2912"
"Male","3013"
"60-64",""
"Female","466"
"Male","511"
"65-69",""
"Female","369"
"Male","412"
"70-74",""
"Female","253"
"Male","308"
"75+",""
"Female","203"
"Male","217"
