"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","7"
"Cow Dung","8"
"Electricity","0"
"Kerosene","33"
"LP Gas","27"
"Not stated","42"
"Others","3"
"Wood/Firewood","3609"
"Total","3729"
