"Number of households by type of outer wall","Number"
"BambooWall","728"
"Cement Bonded Bricks/Stone Wall","65"
"Mud Bonded Bricks/Stone Wall","1745"
"Not stated","45"
"Others","272"
"Unbaked Bricks","3"
"Wood/Planks","871"
"Total","3729"
