"Population by Five Years Age Group","Number"
"0-4",""
"Female","786"
"Male","742"
"10-14",""
"Female","1235"
"Male","1316"
"15-19",""
"Female","1149"
"Male","1140"
"20-24",""
"Female","901"
"Male","774"
"25-29",""
"Female","754"
"Male","557"
"30-34",""
"Female","586"
"Male","538"
"35-39",""
"Female","544"
"Male","456"
"40-44",""
"Female","548"
"Male","450"
"45-49",""
"Female","452"
"Male","422"
"50-54",""
"Female","373"
"Male","421"
"55-59",""
"Female","323"
"Male","356"
"5-9",""
"Female","1055"
"Male","1109"
"60-64",""
"Female","280"
"Male","315"
"65-69",""
"Female","197"
"Male","162"
"70-74",""
"Female","129"
"Male","159"
"75+",""
"Female","143"
"Male","162"
