"Number of households by type of outer wall","Number"
"BambooWall","2975"
"Cement Bonded Bricks/Stone Wall","983"
"Mud Bonded Bricks/Stone Wall","479"
"Not Stated about Wall","68"
"Other Type Wall","9"
"Unbaked Bricks","21"
"Wood/Planks","200"
"Total","4735"
