"Number of households by type of outer wall","Number"
"BambooWall","2673"
"Cement Bonded Bricks/Stone Wall","938"
"Mud Bonded Bricks/Stone Wall","230"
"Not Stated about Wall","74"
"Other Type Wall","26"
"Unbaked Bricks","4"
"Wood/Planks","38"
"Total","3983"
