"Industries Types","Number"
"Accommodation and food","1321"
"Administrative and support service activity","83"
"Agriculture, forestry and fishing","708"
"Art, entertainment and recreation","46"
"Construction","28"
"Education","464"
"Electricty gas and water","4"
"Financial intermediation and insurance","250"
"Health and social work","499"
"Information and communications","22"
"Manufacturing","1513"
"Mining and quarrying","17"
"Other service activities","1378"
"Professional,scientific and techniqual activity","128"
"Real state, renting and business activities","0"
"Transport and storage","37"
"Water supply, wet management","18"
"Wholesale and retail trade","8380"
"Total","14896"
