"Industries Employment","Number"
"Accommodation,  food",""
"Female","1467"
"Male","1616"
"Administrative, support service",""
"Female","23"
"Male","159"
"Agriculture, forestry and  fishing",""
"Female","1182"
"Male","1528"
"Arts, entertainment, recreation",""
"Female","31"
"Male","121"
"Construction",""
"Female","76"
"Male","192"
"Education",""
"Female","2516"
"Male","3319"
"Electricity, gas and water",""
"Female","9"
"Male","67"
"Financial intermediation and insurance",""
"Female","522"
"Male","668"
"Health, social work",""
"Female","891"
"Male","708"
"Information and communication",""
"Female","28"
"Male","91"
"Manufacturing",""
"Female","1591"
"Male","5074"
"Other service activities",""
"Female","1408"
"Male","2189"
"Professional, scientific, techniqual activity",""
"Female","32"
"Male","178"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","18"
"Male","124"
"Water supply, wet management",""
"Female","16"
"Male","84"
"Wholesale, retail trade",""
"Female","5935"
"Male","8788"
