"Industries Types","Number"
"Accommodation and food","18715"
"Administrative and support service activity","932"
"Agriculture, forestry and fishing","4087"
"Art, entertainment and recreation","227"
"Construction","143"
"Education","6111"
"Electricty gas and water","105"
"Financial intermediation and insurance","2382"
"Health and social work","2944"
"Information and communications","303"
"Manufacturing","16170"
"Mining and quarrying","88"
"Other service activities","9859"
"Professional,scientific and techniqual activity","1204"
"Real state, renting and business activities","8"
"Transport and storage","475"
"Water supply, wet management","364"
"Wholesale and retail trade","83672"
"Total","147789"
