"Population by Five Years Age Group","Number"
"0-4",""
"Female","2191"
"Male","2331"
"10-14",""
"Female","3603"
"Male","3672"
"15-19",""
"Female","3395"
"Male","3152"
"20-24",""
"Female","3140"
"Male","2001"
"25-29",""
"Female","2759"
"Male","1764"
"30-34",""
"Female","2108"
"Male","1423"
"35-39",""
"Female","1941"
"Male","1249"
"40-44",""
"Female","1563"
"Male","1235"
"45-49",""
"Female","1250"
"Male","1088"
"50-54",""
"Female","1068"
"Male","983"
"55-59",""
"Female","879"
"Male","772"
"5-9",""
"Female","2781"
"Male","3061"
"60-64",""
"Female","752"
"Male","780"
"65-69",""
"Female","530"
"Male","564"
"70-74",""
"Female","371"
"Male","371"
"75+",""
"Female","428"
"Male","431"
