"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","17"
"Cow Dung","782"
"Electricity Fuel","10"
"KeroseneFuel","362"
"LP Gas","8565"
"Not Sated about Fuel","121"
"OthersFuel","28"
"Wood/FireWood","2612"
"Total","12497"
