"Population by Five Years Age Group","Number"
"0-4",""
"Female","682"
"Male","730"
"10-14",""
"Female","713"
"Male","758"
"15-19",""
"Female","603"
"Male","554"
"20-24",""
"Female","531"
"Male","535"
"25-29",""
"Female","451"
"Male","702"
"30-34",""
"Female","358"
"Male","452"
"35-39",""
"Female","300"
"Male","379"
"40-44",""
"Female","257"
"Male","318"
"45-49",""
"Female","237"
"Male","280"
"50-54",""
"Female","169"
"Male","264"
"55-59",""
"Female","140"
"Male","198"
"5-9",""
"Female","772"
"Male","755"
"60-64",""
"Female","195"
"Male","185"
"65-69",""
"Female","99"
"Male","110"
"70-74",""
"Female","51"
"Male","74"
"75+",""
"Female","98"
"Male","88"
