"Population by Single Year of Age","Number"
"0",""
"Female","489"
"Male","612"
"1",""
"Female","454"
"Male","556"
"10",""
"Female","756"
"Male","1124"
"11",""
"Female","689"
"Male","913"
"12",""
"Female","853"
"Male","1099"
"13",""
"Female","873"
"Male","1050"
"14",""
"Female","889"
"Male","1016"
"15",""
"Female","919"
"Male","964"
"16",""
"Female","996"
"Male","1035"
"17",""
"Female","890"
"Male","932"
"18",""
"Female","955"
"Male","1106"
"19",""
"Female","758"
"Male","817"
"2",""
"Female","484"
"Male","494"
"20",""
"Female","1094"
"Male","1081"
"21",""
"Female","777"
"Male","858"
"22",""
"Female","1093"
"Male","1124"
"23",""
"Female","914"
"Male","837"
"24",""
"Female","950"
"Male","900"
"25",""
"Female","1059"
"Male","1126"
"26",""
"Female","871"
"Male","751"
"27",""
"Female","817"
"Male","756"
"28",""
"Female","990"
"Male","950"
"29",""
"Female","534"
"Male","548"
"3",""
"Female","435"
"Male","476"
"30",""
"Female","1169"
"Male","1107"
"31",""
"Female","498"
"Male","539"
"32",""
"Female","765"
"Male","764"
"33",""
"Female","655"
"Male","607"
"34",""
"Female","643"
"Male","617"
"35",""
"Female","992"
"Male","1054"
"36",""
"Female","635"
"Male","586"
"37",""
"Female","458"
"Male","505"
"38",""
"Female","723"
"Male","680"
"39",""
"Female","416"
"Male","438"
"4",""
"Female","491"
"Male","567"
"40",""
"Female","899"
"Male","993"
"41",""
"Female","328"
"Male","356"
"42",""
"Female","580"
"Male","640"
"43",""
"Female","376"
"Male","376"
"44",""
"Female","421"
"Male","419"
"45",""
"Female","699"
"Male","684"
"46",""
"Female","345"
"Male","354"
"47",""
"Female","307"
"Male","308"
"48",""
"Female","405"
"Male","422"
"49",""
"Female","239"
"Male","261"
"5",""
"Female","535"
"Male","615"
"50",""
"Female","567"
"Male","520"
"51",""
"Female","192"
"Male","204"
"52",""
"Female","299"
"Male","283"
"53",""
"Female","172"
"Male","201"
"54",""
"Female","231"
"Male","204"
"55",""
"Female","374"
"Male","350"
"56",""
"Female","237"
"Male","211"
"57",""
"Female","173"
"Male","177"
"58",""
"Female","252"
"Male","231"
"59",""
"Female","118"
"Male","122"
"6",""
"Female","624"
"Male","650"
"60",""
"Female","457"
"Male","311"
"61",""
"Female","132"
"Male","118"
"62",""
"Female","191"
"Male","165"
"63",""
"Female","139"
"Male","119"
"64",""
"Female","161"
"Male","134"
"65",""
"Female","322"
"Male","263"
"66",""
"Female","149"
"Male","137"
"67",""
"Female","158"
"Male","129"
"68",""
"Female","199"
"Male","200"
"69",""
"Female","100"
"Male","103"
"7",""
"Female","592"
"Male","663"
"70",""
"Female","260"
"Male","228"
"71",""
"Female","99"
"Male","92"
"72",""
"Female","159"
"Male","125"
"73",""
"Female","122"
"Male","85"
"74",""
"Female","90"
"Male","82"
"75",""
"Female","194"
"Male","165"
"76",""
"Female","97"
"Male","107"
"77",""
"Female","93"
"Male","78"
"78",""
"Female","130"
"Male","83"
"79",""
"Female","50"
"Male","40"
"8",""
"Female","634"
"Male","801"
"80",""
"Female","93"
"Male","66"
"81",""
"Female","33"
"Male","28"
"82",""
"Female","61"
"Male","39"
"83",""
"Female","29"
"Male","41"
"84",""
"Female","40"
"Male","36"
"85",""
"Female","216"
"Male","137"
"9",""
"Female","623"
"Male","933"
