"Population by Five Years Age Group","Number"
"0-4",""
"Female","2353"
"Male","2705"
"10-14",""
"Female","4060"
"Male","5202"
"15-19",""
"Female","4518"
"Male","4854"
"20-24",""
"Female","4828"
"Male","4800"
"25-29",""
"Female","4271"
"Male","4131"
"30-34",""
"Female","3730"
"Male","3634"
"35-39",""
"Female","3224"
"Male","3263"
"40-44",""
"Female","2604"
"Male","2784"
"45-49",""
"Female","1995"
"Male","2029"
"50-54",""
"Female","1461"
"Male","1412"
"55-59",""
"Female","1154"
"Male","1091"
"5-9",""
"Female","3008"
"Male","3662"
"60-64",""
"Female","1080"
"Male","847"
"65-69",""
"Female","928"
"Male","832"
"70-74",""
"Female","730"
"Male","612"
"75+",""
"Female","1036"
"Male","820"
