"Number of households by type of outer wall","Number"
"BambooWall","3274"
"Cement Bonded Bricks/Stone Wall","1051"
"Mud Bonded Bricks/Stone Wall","321"
"Not stated","306"
"Others","318"
"Unbaked Bricks","24"
"Wood/Planks","71"
"Total","5365"
