"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","5"
"Cow Dung","2957"
"Electricity","0"
"Kerosene","151"
"LP Gas","59"
"Not stated","83"
"Others","4"
"Wood/Firewood","2106"
"Total","5365"
