"Population by Five Years Age Group","Number"
"0-4",""
"Female","1043"
"Male","1049"
"10-14",""
"Female","1038"
"Male","1069"
"15-19",""
"Female","710"
"Male","695"
"20-24",""
"Female","596"
"Male","424"
"25-29",""
"Female","537"
"Male","445"
"30-34",""
"Female","473"
"Male","339"
"35-39",""
"Female","467"
"Male","380"
"40-44",""
"Female","329"
"Male","259"
"45-49",""
"Female","291"
"Male","264"
"50-54",""
"Female","228"
"Male","217"
"55-59",""
"Female","187"
"Male","175"
"5-9",""
"Female","1300"
"Male","1296"
"60-64",""
"Female","229"
"Male","159"
"65-69",""
"Female","191"
"Male","159"
"70-74",""
"Female","121"
"Male","92"
"75+",""
"Female","100"
"Male","89"
