"Population by Five Years Age Group","Number"
"0-4",""
"Female","757"
"Male","774"
"10-14",""
"Female","1301"
"Male","1177"
"15-19",""
"Female","1079"
"Male","977"
"20-24",""
"Female","825"
"Male","363"
"25-29",""
"Female","761"
"Male","312"
"30-34",""
"Female","666"
"Male","326"
"35-39",""
"Female","645"
"Male","374"
"40-44",""
"Female","667"
"Male","401"
"45-49",""
"Female","518"
"Male","432"
"50-54",""
"Female","542"
"Male","453"
"55-59",""
"Female","447"
"Male","416"
"5-9",""
"Female","953"
"Male","963"
"60-64",""
"Female","407"
"Male","344"
"65-69",""
"Female","295"
"Male","260"
"70-74",""
"Female","219"
"Male","206"
"75+",""
"Female","346"
"Male","321"
