"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1334"
"Male","956"
"Chhantyal/Chhantel",""
"Female","63"
"Male","61"
"Chhetri",""
"Female","1720"
"Male","1280"
"Damai/Dholi",""
"Female","468"
"Male","327"
"Gharti/Bhujel",""
"Female","22"
"Male","23"
"Gurung",""
"Female","70"
"Male","58"
"Kami",""
"Female","1083"
"Male","760"
"Magar",""
"Female","2894"
"Male","2205"
"Musalman",""
"Female","19"
"Male","22"
"Newar",""
"Female","9"
"Male","11"
"Others",""
"Female","17"
"Male","17"
"Sanyasi/Dasnami",""
"Female","15"
"Male","12"
"Sarki",""
"Female","614"
"Male","432"
