"Population by Five Years Age Group","Number"
"0-4",""
"Female","1308"
"Male","1267"
"10-14",""
"Female","2007"
"Male","1886"
"15-19",""
"Female","1759"
"Male","1220"
"20-24",""
"Female","1268"
"Male","520"
"25-29",""
"Female","1095"
"Male","406"
"30-34",""
"Female","821"
"Male","374"
"35-39",""
"Female","850"
"Male","400"
"40-44",""
"Female","717"
"Male","478"
"45-49",""
"Female","635"
"Male","504"
"50-54",""
"Female","579"
"Male","545"
"55-59",""
"Female","496"
"Male","511"
"5-9",""
"Female","1715"
"Male","1696"
"60-64",""
"Female","505"
"Male","439"
"65-69",""
"Female","339"
"Male","338"
"70-74",""
"Female","274"
"Male","252"
"75+",""
"Female","362"
"Male","304"
