"Population by Single Year of Age","Number"
"0",""
"Female","271"
"Male","249"
"1",""
"Female","208"
"Male","225"
"10",""
"Female","397"
"Male","377"
"11",""
"Female","379"
"Male","359"
"12",""
"Female","442"
"Male","413"
"13",""
"Female","378"
"Male","394"
"14",""
"Female","411"
"Male","343"
"15",""
"Female","370"
"Male","309"
"16",""
"Female","357"
"Male","316"
"17",""
"Female","351"
"Male","234"
"18",""
"Female","370"
"Male","236"
"19",""
"Female","311"
"Male","125"
"2",""
"Female","281"
"Male","257"
"20",""
"Female","303"
"Male","128"
"21",""
"Female","259"
"Male","138"
"22",""
"Female","299"
"Male","99"
"23",""
"Female","204"
"Male","89"
"24",""
"Female","203"
"Male","66"
"25",""
"Female","317"
"Male","97"
"26",""
"Female","252"
"Male","69"
"27",""
"Female","181"
"Male","73"
"28",""
"Female","222"
"Male","97"
"29",""
"Female","123"
"Male","70"
"3",""
"Female","244"
"Male","234"
"30",""
"Female","305"
"Male","104"
"31",""
"Female","91"
"Male","56"
"32",""
"Female","170"
"Male","76"
"33",""
"Female","125"
"Male","70"
"34",""
"Female","130"
"Male","68"
"35",""
"Female","275"
"Male","117"
"36",""
"Female","153"
"Male","73"
"37",""
"Female","121"
"Male","62"
"38",""
"Female","174"
"Male","90"
"39",""
"Female","127"
"Male","58"
"4",""
"Female","304"
"Male","302"
"40",""
"Female","266"
"Male","148"
"41",""
"Female","108"
"Male","67"
"42",""
"Female","146"
"Male","101"
"43",""
"Female","108"
"Male","72"
"44",""
"Female","89"
"Male","90"
"45",""
"Female","220"
"Male","154"
"46",""
"Female","99"
"Male","80"
"47",""
"Female","114"
"Male","76"
"48",""
"Female","122"
"Male","114"
"49",""
"Female","80"
"Male","80"
"5",""
"Female","329"
"Male","326"
"50",""
"Female","202"
"Male","185"
"51",""
"Female","92"
"Male","94"
"52",""
"Female","118"
"Male","104"
"53",""
"Female","90"
"Male","76"
"54",""
"Female","77"
"Male","86"
"55",""
"Female","152"
"Male","111"
"56",""
"Female","99"
"Male","127"
"57",""
"Female","82"
"Male","87"
"58",""
"Female","100"
"Male","104"
"59",""
"Female","63"
"Male","82"
"6",""
"Female","329"
"Male","324"
"60",""
"Female","202"
"Male","153"
"61",""
"Female","86"
"Male","71"
"62",""
"Female","90"
"Male","89"
"63",""
"Female","74"
"Male","60"
"64",""
"Female","53"
"Male","66"
"65",""
"Female","134"
"Male","99"
"66",""
"Female","59"
"Male","55"
"67",""
"Female","46"
"Male","54"
"68",""
"Female","58"
"Male","84"
"69",""
"Female","42"
"Male","46"
"7",""
"Female","374"
"Male","343"
"70",""
"Female","121"
"Male","93"
"71",""
"Female","34"
"Male","33"
"72",""
"Female","60"
"Male","71"
"73",""
"Female","32"
"Male","36"
"74",""
"Female","27"
"Male","19"
"75",""
"Female","69"
"Male","51"
"76",""
"Female","22"
"Male","23"
"77",""
"Female","25"
"Male","28"
"78",""
"Female","31"
"Male","43"
"79",""
"Female","17"
"Male","14"
"8",""
"Female","342"
"Male","367"
"80",""
"Female","68"
"Male","38"
"81",""
"Female","15"
"Male","7"
"82",""
"Female","9"
"Male","13"
"83",""
"Female","15"
"Male","18"
"84",""
"Female","19"
"Male","13"
"85",""
"Female","72"
"Male","56"
"9",""
"Female","341"
"Male","336"
