"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","44"
"Male","27"
"Darai",""
"Female","238"
"Male","196"
"Gurung",""
"Female","185"
"Male","158"
"Kumal",""
"Female","19"
"Male","12"
"Magar",""
"Female","9362"
"Male","7142"
"Maithili",""
"Female","7"
"Male","10"
"Nepali",""
"Female","4351"
"Male","3183"
"Newar",""
"Female","435"
"Male","351"
"Not Reported",""
"Female","42"
"Male","28"
"Others",""
"Female","23"
"Male","13"
"Sign Language",""
"Female","15"
"Male","9"
"Urdu",""
"Female","9"
"Male","11"
