"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","5925"
"Mud Roof","1"
"Not Sated Roof","41"
"Other Type of Roof","92"
"RCC Roof","62"
"Thatch/Straw Roof","955"
"Tile/Slate Roof","39"
"Wood/Planks Roof","8"
"Total","7123"
