"Population by Caste Ethinicity","Number"
"Bantaba",""
"Female","15"
"Male","13"
"","28"
"Brahman - Hill",""
"Female","3053"
"Male","2807"
"","5860"
"Chhetri",""
"Female","2401"
"Male","2241"
"","4642"
"Dalit Others",""
"Female","17"
"Male","16"
"","33"
"Damai/Dholi",""
"Female","256"
"Male","231"
"","487"
"Gharti/Bhujel",""
"Female","47"
"Male","59"
"","106"
"Gurung",""
"Female","321"
"Male","323"
"","644"
"Hajam/Thakur",""
"Female","7"
"Male","5"
"","12"
"Kami",""
"Female","501"
"Male","430"
"","931"
"Kulung",""
"Female","44"
"Male","56"
"","100"
"Limbu",""
"Female","2511"
"Male","2392"
"","4903"
"Magar",""
"Female","1574"
"Male","1403"
"","2977"
"Mewahang Bala",""
"Female","7"
"Male","5"
"","12"
"Newar",""
"Female","693"
"Male","658"
"","1351"
"Others",""
"Female","51"
"Male","57"
"","108"
"Punjabi/Sikh",""
"Female","5"
"Male","6"
"","11"
"Rai",""
"Female","3440"
"Male","3167"
"","6607"
"Samgpang",""
"Female","17"
"Male","16"
"","33"
"Sanyasi/Dasnami",""
"Female","211"
"Male","192"
"","403"
"Sarki",""
"Female","84"
"Male","76"
"","160"
"Sherpa",""
"Female","227"
"Male","250"
"","477"
"Sunuwar",""
"Female","184"
"Male","171"
"","355"
"Tamang",""
"Female","1214"
"Male","1062"
"","2276"
"Tharu",""
"Female","7"
"Male","4"
"","11"
"Undefined Others",""
"Female","25"
"Male","29"
"","54"
"Yamphu",""
"Female","174"
"Male","172"
"","346"
