"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1282"
"Male","1060"
"Chhantyal/Chhantel",""
"Female","347"
"Male","308"
"Chhetri",""
"Female","2434"
"Male","1991"
"Dalit Others",""
"Female","41"
"Male","45"
"Damai/Dholi",""
"Female","434"
"Male","345"
"Gharti/Bhujel",""
"Female","36"
"Male","15"
"Gurung",""
"Female","47"
"Male","43"
"Kami",""
"Female","5720"
"Male","4594"
"Kayastha",""
"Female","167"
"Male","129"
"Kumal",""
"Female","283"
"Male","245"
"Magar",""
"Female","3261"
"Male","2675"
"Musalman",""
"Female","53"
"Male","58"
"Newar",""
"Female","52"
"Male","37"
"Others",""
"Female","29"
"Male","15"
"Sanyasi/Dasnami",""
"Female","50"
"Male","49"
"Sarki",""
"Female","77"
"Male","62"
"Tamang",""
"Female","12"
"Male","19"
"Terai Others",""
"Female","12"
"Male","9"
"Thakali",""
"Female","70"
"Male","65"
"Thakuri",""
"Female","24"
"Male","20"
