"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","612"
"Cow Dung","1244"
"Electricity Fuel","1"
"KeroseneFuel","41"
"LP Gas","950"
"Not Sated about Fuel","22"
"OthersFuel","7"
"Wood/FireWood","3268"
"Total","6145"
