"Population by Mother tongue","Number"
"Angika",""
"Female","247"
"Male","256"
"","503"
"Avadhi",""
"Female","431"
"Male","366"
"","797"
"Bangla",""
"Female","127"
"Male","122"
"","249"
"Bantawa",""
"Female","31"
"Male","20"
"","51"
"Bhojpuri",""
"Female","302"
"Male","323"
"","625"
"Bhujel",""
"Female","658"
"Male","572"
"","1230"
"Chamling",""
"Female","8"
"Male","8"
"","16"
"Chepang",""
"Female","76"
"Male","58"
"","134"
"Dhimal",""
"Female","53"
"Male","55"
"","108"
"Dumi",""
"Female","8"
"Male","7"
"","15"
"Gurung",""
"Female","8"
"Male","6"
"","14"
"Hindi",""
"Female","56"
"Male","80"
"","136"
"Kulung",""
"Female","7"
"Male","7"
"","14"
"Limbu",""
"Female","76"
"Male","62"
"","138"
"Magahi",""
"Female","512"
"Male","521"
"","1033"
"Magar",""
"Female","221"
"Male","167"
"","388"
"Maithili",""
"Female","11826"
"Male","11550"
"","23376"
"Majhi",""
"Female","58"
"Male","51"
"","109"
"Nepali",""
"Female","6014"
"Male","5082"
"","11096"
"Newar",""
"Female","73"
"Male","59"
"","132"
"Not Reported",""
"Female","70"
"Male","71"
"","141"
"Others",""
"Female","63"
"Male","73"
"","136"
"Rai",""
"Female","67"
"Male","60"
"","127"
"Rajbanshi",""
"Female","1560"
"Male","1418"
"","2978"
"Rajsthani",""
"Female","217"
"Male","221"
"","438"
"Santhali",""
"Female","1796"
"Male","1728"
"","3524"
"Tajpuriya",""
"Female","642"
"Male","555"
"","1197"
"Tamang",""
"Female","100"
"Male","83"
"","183"
"Thami",""
"Female","19"
"Male","18"
"","37"
"Tharu",""
"Female","859"
"Male","741"
"","1600"
"Tilung",""
"Female","23"
"Male","19"
"","42"
"Uranw/Urau",""
"Female","426"
"Male","396"
"","822"
"Urdu",""
"Female","298"
"Male","326"
"","624"
