"Population by Caste/Ethinicity","Number"
"Bote",""
"Female","63"
"Male","45"
"Brahman - Hill",""
"Female","1530"
"Male","1134"
"Chhetri",""
"Female","736"
"Male","550"
"Damai/Dholi",""
"Female","199"
"Male","148"
"Gaine",""
"Female","19"
"Male","8"
"Gharti/Bhujel",""
"Female","101"
"Male","61"
"Gurung",""
"Female","7"
"Male","9"
"Kami",""
"Female","989"
"Male","701"
"Magar",""
"Female","7525"
"Male","5367"
"Musalman",""
"Female","10"
"Male","7"
"Newar",""
"Female","241"
"Male","176"
"Others",""
"Female","28"
"Male","30"
"Sarki",""
"Female","248"
"Male","185"
"Thakuri",""
"Female","42"
"Male","31"
