"Population by Five Years Age Group","Number"
"0-4",""
"Female","1807"
"Male","1886"
"10-14",""
"Female","3017"
"Male","2988"
"15-19",""
"Female","3257"
"Male","2856"
"20-24",""
"Female","2713"
"Male","2227"
"25-29",""
"Female","2149"
"Male","1984"
"30-34",""
"Female","1831"
"Male","1523"
"35-39",""
"Female","1586"
"Male","1697"
"40-44",""
"Female","1386"
"Male","1244"
"45-49",""
"Female","1069"
"Male","1237"
"50-54",""
"Female","828"
"Male","780"
"55-59",""
"Female","692"
"Male","763"
"5-9",""
"Female","2256"
"Male","2362"
"60-64",""
"Female","659"
"Male","638"
"65-69",""
"Female","501"
"Male","614"
"70-74",""
"Female","401"
"Male","344"
"75+",""
"Female","344"
"Male","348"
