"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","33"
"Male","16"
"Brahman - Hill",""
"Female","490"
"Male","440"
"Brahman - Tarai",""
"Female","7"
"Male","15"
"Chhetri",""
"Female","896"
"Male","768"
"Dalit Others",""
"Female","141"
"Male","112"
"Damai/Dholi",""
"Female","134"
"Male","112"
"Gurung",""
"Female","9"
"Male","8"
"Kami",""
"Female","666"
"Male","528"
"Lohar",""
"Female","35"
"Male","25"
"Magar",""
"Female","122"
"Male","107"
"Musalman",""
"Female","20"
"Male","18"
"Newar",""
"Female","17"
"Male","16"
"Others",""
"Female","30"
"Male","17"
"Rajbansi",""
"Female","20"
"Male","13"
"Sanyasi/Dasnami",""
"Female","8"
"Male","10"
"Sarki",""
"Female","51"
"Male","55"
"Thakuri",""
"Female","94"
"Male","100"
"Tharu",""
"Female","21723"
"Male","21131"
