"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","7"
"Cow Dung","5009"
"Electricity","2"
"Kerosene","89"
"LP Gas","225"
"Not stated","75"
"Others","37"
"Wood/Firewood","1063"
"Total","6507"
