"Population by Single Year of Age","Number"
"0",""
"Female","542"
"Male","567"
"1",""
"Female","451"
"Male","413"
"10",""
"Female","910"
"Male","1019"
"11",""
"Female","365"
"Male","367"
"12",""
"Female","830"
"Male","875"
"13",""
"Female","477"
"Male","521"
"14",""
"Female","631"
"Male","642"
"15",""
"Female","621"
"Male","632"
"16",""
"Female","654"
"Male","681"
"17",""
"Female","420"
"Male","409"
"18",""
"Female","619"
"Male","747"
"19",""
"Female","275"
"Male","309"
"2",""
"Female","596"
"Male","633"
"20",""
"Female","676"
"Male","660"
"21",""
"Female","207"
"Male","199"
"22",""
"Female","504"
"Male","465"
"23",""
"Female","357"
"Male","242"
"24",""
"Female","364"
"Male","325"
"25",""
"Female","617"
"Male","698"
"26",""
"Female","351"
"Male","249"
"27",""
"Female","167"
"Male","207"
"28",""
"Female","585"
"Male","440"
"29",""
"Female","137"
"Male","93"
"3",""
"Female","657"
"Male","741"
"30",""
"Female","735"
"Male","712"
"31",""
"Female","79"
"Male","66"
"32",""
"Female","430"
"Male","318"
"33",""
"Female","232"
"Male","111"
"34",""
"Female","193"
"Male","104"
"35",""
"Female","572"
"Male","736"
"36",""
"Female","171"
"Male","196"
"37",""
"Female","88"
"Male","95"
"38",""
"Female","440"
"Male","234"
"39",""
"Female","90"
"Male","65"
"4",""
"Female","660"
"Male","641"
"40",""
"Female","579"
"Male","690"
"41",""
"Female","51"
"Male","43"
"42",""
"Female","217"
"Male","231"
"43",""
"Female","178"
"Male","71"
"44",""
"Female","95"
"Male","52"
"45",""
"Female","501"
"Male","650"
"46",""
"Female","79"
"Male","81"
"47",""
"Female","43"
"Male","48"
"48",""
"Female","272"
"Male","149"
"49",""
"Female","51"
"Male","43"
"5",""
"Female","795"
"Male","881"
"50",""
"Female","410"
"Male","559"
"51",""
"Female","36"
"Male","36"
"52",""
"Female","121"
"Male","145"
"53",""
"Female","107"
"Male","35"
"54",""
"Female","54"
"Male","33"
"55",""
"Female","284"
"Male","491"
"56",""
"Female","50"
"Male","56"
"57",""
"Female","29"
"Male","35"
"58",""
"Female","183"
"Male","85"
"59",""
"Female","37"
"Male","39"
"6",""
"Female","753"
"Male","749"
"60",""
"Female","382"
"Male","480"
"61",""
"Female","21"
"Male","14"
"62",""
"Female","115"
"Male","95"
"63",""
"Female","61"
"Male","26"
"64",""
"Female","41"
"Male","11"
"65",""
"Female","261"
"Male","413"
"66",""
"Female","26"
"Male","30"
"67",""
"Female","15"
"Male","18"
"68",""
"Female","76"
"Male","70"
"69",""
"Female","25"
"Male","8"
"7",""
"Female","595"
"Male","596"
"70",""
"Female","228"
"Male","310"
"71",""
"Female","10"
"Male","15"
"72",""
"Female","37"
"Male","34"
"73",""
"Female","15"
"Male","13"
"74",""
"Female","12"
"Male","7"
"75",""
"Female","99"
"Male","136"
"76",""
"Female","6"
"Male","7"
"77",""
"Female","5"
"Male","6"
"78",""
"Female","8"
"Male","11"
"79",""
"Female","7"
"Male","4"
"8",""
"Female","872"
"Male","963"
"80",""
"Female","70"
"Male","89"
"81",""
"Female","3"
"Male","2"
"82",""
"Female","1"
"Male","3"
"83",""
"Female","0"
"Male","2"
"84",""
"Female","2"
"Male","1"
"85",""
"Female","34"
"Male","41"
"9",""
"Female","378"
"Male","427"
