"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","247"
"Male","274"
"Bangali",""
"Female","44"
"Male","38"
"Baraee",""
"Female","639"
"Male","647"
"Brahman - Hill",""
"Female","850"
"Male","894"
"Brahman - Tarai",""
"Female","260"
"Male","260"
"Chamar/ Harijan/ Ram",""
"Female","1757"
"Male","1755"
"Chhetri",""
"Female","121"
"Male","111"
"Dalit Others",""
"Female","36"
"Male","38"
"Damai/Dholi",""
"Female","22"
"Male","21"
"Dhandi",""
"Female","7"
"Male","6"
"Dhobi",""
"Female","626"
"Male","563"
"Dhunia",""
"Female","24"
"Male","20"
"Dusadh/ Pasawan/ Pasi",""
"Female","1119"
"Male","1161"
"Foreigner",""
"Female","17"
"Male","19"
"Gaderi/Bhedihar",""
"Female","211"
"Male","246"
"Gurung",""
"Female","13"
"Male","12"
"Hajam/Thakur",""
"Female","224"
"Male","236"
"Halwai",""
"Female","78"
"Male","80"
"Kahar",""
"Female","1150"
"Male","1191"
"Kalwar",""
"Female","426"
"Male","438"
"Kami",""
"Female","41"
"Male","38"
"Kathabaniyan",""
"Female","527"
"Male","586"
"Kayastha",""
"Female","35"
"Male","37"
"Kewat",""
"Female","316"
"Male","348"
"Koiri/Kushwaha",""
"Female","32"
"Male","26"
"Kori",""
"Female","154"
"Male","144"
"Kumhar",""
"Female","4"
"Male","14"
"Kurmi",""
"Female","1673"
"Male","1688"
"Lodh",""
"Female","217"
"Male","229"
"Lohar",""
"Female","250"
"Male","237"
"Magar",""
"Female","127"
"Male","132"
"Mali",""
"Female","6"
"Male","5"
"Mallaha",""
"Female","57"
"Male","76"
"Marwadi",""
"Female","18"
"Male","24"
"Musalman",""
"Female","8057"
"Male","7969"
"Natuwa",""
"Female","54"
"Male","54"
"Newar",""
"Female","16"
"Male","13"
"Others",""
"Female","44"
"Male","22"
"Pattharkatta/ Kushwadiya",""
"Female","22"
"Male","27"
"Sanyasi/Dasnami",""
"Female","35"
"Male","33"
"Sherpa",""
"Female","27"
"Male","30"
"Sonar",""
"Female","47"
"Male","44"
"Tamang",""
"Female","8"
"Male","5"
"Teli",""
"Female","327"
"Male","361"
"Terai Others",""
"Female","588"
"Male","570"
"Thakuri",""
"Female","35"
"Male","32"
"Tharu",""
"Female","362"
"Male","344"
"Undefined Others",""
"Female","15"
"Male","22"
"Yadav",""
"Female","3055"
"Male","3078"
