"Number of households by type of outer wall","Number"
"BambooWall","368"
"Cement Bonded Bricks/Stone Wall","1384"
"Mud Bonded Bricks/Stone Wall","4035"
"Not stated","120"
"Others","474"
"Unbaked Bricks","58"
"Wood/Planks","68"
"Total","6507"
