"Population by Five Years Age Group","Number"
"0-4",""
"Female","1363"
"Male","1448"
"10-14",""
"Female","1559"
"Male","1751"
"15-19",""
"Female","913"
"Male","1217"
"20-24",""
"Female","844"
"Male","853"
"25-29",""
"Female","862"
"Male","903"
"30-34",""
"Female","891"
"Male","808"
"35-39",""
"Female","758"
"Male","850"
"40-44",""
"Female","605"
"Male","695"
"45-49",""
"Female","493"
"Male","597"
"50-54",""
"Female","389"
"Male","446"
"55-59",""
"Female","381"
"Male","363"
"5-9",""
"Female","1867"
"Male","1903"
"60-64",""
"Female","340"
"Male","392"
"65-69",""
"Female","284"
"Male","269"
"70-74",""
"Female","204"
"Male","210"
"75+",""
"Female","134"
"Male","156"
