"Number of households by type of outer wall","Number"
"BambooWall","2889"
"Cement Bonded Bricks/Stone Wall","781"
"Mud Bonded Bricks/Stone Wall","211"
"Not stated","86"
"Others","9"
"Unbaked Bricks","3"
"Wood/Planks","29"
"Total","4008"
