"Population by Caste Ethinicity","Number"
"Baraee",""
"Female","6"
"Male","5"
"","11"
"Bhote",""
"Female","9"
"Male","4"
"","13"
"Brahman - Hill",""
"Female","28"
"Male","27"
"","55"
"Chhetri",""
"Female","602"
"Male","559"
"","1161"
"Damai/Dholi",""
"Female","75"
"Male","43"
"","118"
"Gharti/Bhujel",""
"Female","47"
"Male","39"
"","86"
"Gurung",""
"Female","110"
"Male","101"
"","211"
"Kami",""
"Female","184"
"Male","139"
"","323"
"Limbu",""
"Female","2043"
"Male","1836"
"","3879"
"Magar",""
"Female","12"
"Male","12"
"","24"
"Newar",""
"Female","10"
"Male","11"
"","21"
"Others",""
"Female","10"
"Male","21"
"","31"
"Rai",""
"Female","86"
"Male","81"
"","167"
"Sanyasi/Dasnami",""
"Female","113"
"Male","98"
"","211"
"Sarki",""
"Female","12"
"Male","3"
"","15"
"Sherpa",""
"Female","672"
"Male","599"
"","1271"
"Tamang",""
"Female","103"
"Male","84"
"","187"
"Topkegola",""
"Female","725"
"Male","651"
"","1376"
