"Agricultural land use area","Hectare"
"Area under arable land","4121.65"
"Area under meadows and pasture","80.59"
"Area under permanent crops","60.86"
"Area under Temporary crops","3998.38"
"Area under temporary fallow","114.91"
"Area under temporary meadows","8.36"
"Other land","163.00"
"Ponds","0.22"
"Woodland and forest","131.33"
