"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","75"
"Cow Dung","0"
"Electricity","17"
"Kerosene","69"
"LP Gas","805"
"Not stated","32"
"Others","17"
"Wood/Firewood","8726"
"Total","9741"
