"Population by Five Years Age Group","Number"
"0-4",""
"Female","1845"
"Male","1910"
"10-14",""
"Female","3075"
"Male","2959"
"15-19",""
"Female","2330"
"Male","2191"
"20-24",""
"Female","1720"
"Male","1420"
"25-29",""
"Female","1562"
"Male","1580"
"30-34",""
"Female","1318"
"Male","1245"
"35-39",""
"Female","1297"
"Male","1202"
"40-44",""
"Female","1258"
"Male","1230"
"45-49",""
"Female","1029"
"Male","1141"
"50-54",""
"Female","1007"
"Male","1092"
"55-59",""
"Female","677"
"Male","805"
"5-9",""
"Female","2558"
"Male","2386"
"60-64",""
"Female","674"
"Male","747"
"65-69",""
"Female","516"
"Male","525"
"70-74",""
"Female","406"
"Male","452"
"75+",""
"Female","553"
"Male","590"
