"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","27"
"Male","26"
"Brahman - Hill",""
"Female","3324"
"Male","3081"
"Brahman - Tarai",""
"Female","10"
"Male","7"
"Chhetri",""
"Female","434"
"Male","404"
"Damai/Dholi",""
"Female","229"
"Male","209"
"Ghale",""
"Female","524"
"Male","484"
"Gharti/Bhujel",""
"Female","13"
"Male","11"
"Gurung",""
"Female","701"
"Male","611"
"Hajam/Thakur",""
"Female","6"
"Male","8"
"Hyolmo",""
"Female","52"
"Male","48"
"Kami",""
"Female","419"
"Male","372"
"Magar",""
"Female","267"
"Male","228"
"Newar",""
"Female","490"
"Male","484"
"Others",""
"Female","108"
"Male","175"
"Rai",""
"Female","5"
"Male","6"
"Sherpa",""
"Female","19"
"Male","24"
"Tamang",""
"Female","15007"
"Male","14320"
