"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","1"
"Christianity","5"
"Hindu","20084"
"Islam","2534"
"Jainism","0"
"Kirat","129"
"Prakriti","26"
"Sikhism","0"
"Undefined","8"
"Total","22787"
