"Population by Mother tongue","Number"
"Achhami",""
"Female","1998"
"Male","1690"
"Baitadeli",""
"Female","239"
"Male","234"
"Bajhangi",""
"Female","107"
"Male","100"
"Bajureli",""
"Female","335"
"Male","308"
"Bhojpuri",""
"Female","25"
"Male","21"
"Dailekhi",""
"Female","4"
"Male","8"
"Darchuleli",""
"Female","16"
"Male","22"
"Doteli",""
"Female","25375"
"Male","21161"
"Gurung",""
"Female","41"
"Male","40"
"Hindi",""
"Female","126"
"Male","168"
"Kham",""
"Female","127"
"Male","111"
"Magar",""
"Female","317"
"Male","309"
"Maithili",""
"Female","73"
"Male","95"
"Nepali",""
"Female","4518"
"Male","4304"
"Newar",""
"Female","12"
"Male","15"
"Not Reported",""
"Female","18"
"Male","20"
"Others",""
"Female","34"
"Male","26"
"Rai",""
"Female","8"
"Male","10"
"Tamang",""
"Female","29"
"Male","46"
"Tharu",""
"Female","7974"
"Male","7954"
