"Population by Five Years Age Group","Number"
"0-4",""
"Female","4120"
"Male","4409"
"10-14",""
"Female","5548"
"Male","5879"
"15-19",""
"Female","4907"
"Male","4266"
"20-24",""
"Female","4211"
"Male","3192"
"25-29",""
"Female","3478"
"Male","3168"
"30-34",""
"Female","2866"
"Male","2206"
"35-39",""
"Female","2480"
"Male","1909"
"40-44",""
"Female","1994"
"Male","1617"
"45-49",""
"Female","1540"
"Male","1394"
"50-54",""
"Female","1282"
"Male","1121"
"55-59",""
"Female","1011"
"Male","925"
"5-9",""
"Female","5142"
"Male","5490"
"60-64",""
"Female","1219"
"Male","964"
"65-69",""
"Female","694"
"Male","686"
"70-74",""
"Female","560"
"Male","490"
"75+",""
"Female","469"
"Male","449"
