"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","902"
"Cow Dung","13"
"Electricity","9"
"Kerosene","83"
"LP Gas","820"
"Not stated","90"
"Others","7"
"Wood/Firewood","12991"
"Total","14915"
