"Number of households by type of outer wall","Number"
"BambooWall","973"
"Cement Bonded Bricks/Stone Wall","3824"
"Mud Bonded Bricks/Stone Wall","6059"
"Not stated","212"
"Others","617"
"Unbaked Bricks","217"
"Wood/Planks","192"
"Total","12094"
