"Population by Mother tongue","Number"
"Avadhi",""
"Female","24114"
"Male","24621"
"Bhojpuri",""
"Female","91"
"Male","95"
"Doteli",""
"Female","55"
"Male","63"
"Gurung",""
"Female","15"
"Male","15"
"Hindi",""
"Female","52"
"Male","33"
"Magar",""
"Female","332"
"Male","299"
"Maithili",""
"Female","485"
"Male","520"
"Nepali",""
"Female","4419"
"Male","4042"
"Newar",""
"Female","131"
"Male","114"
"Not Reported",""
"Female","60"
"Male","66"
"Others",""
"Female","25"
"Male","16"
"Punjabi",""
"Female","6"
"Male","6"
"Rai",""
"Female","12"
"Male","11"
"Tharu",""
"Female","1449"
"Male","1424"
"Uranw/Urau",""
"Female","18"
"Male","15"
"Urdu",""
"Female","7036"
"Male","6735"
"Yakkha",""
"Female","9"
"Male","10"
