"Number of households by type of outer wall","Number"
"BambooWall","1494"
"Cement Bonded Bricks/Stone Wall","1934"
"Mud Bonded Bricks/Stone Wall","2912"
"Not stated","42"
"Others","1880"
"Unbaked Bricks","631"
"Wood/Planks","676"
"Total","9569"
