"Population by Five Years Age Group","Number"
"0-4",""
"Female","2168"
"Male","2255"
"10-14",""
"Female","3201"
"Male","3273"
"15-19",""
"Female","3187"
"Male","2677"
"20-24",""
"Female","2662"
"Male","1618"
"25-29",""
"Female","2240"
"Male","1429"
"30-34",""
"Female","1625"
"Male","1138"
"35-39",""
"Female","1644"
"Male","1178"
"40-44",""
"Female","1250"
"Male","1169"
"45-49",""
"Female","1050"
"Male","945"
"50-54",""
"Female","830"
"Male","781"
"55-59",""
"Female","755"
"Male","674"
"5-9",""
"Female","2669"
"Male","2755"
"60-64",""
"Female","706"
"Male","648"
"65-69",""
"Female","465"
"Male","510"
"70-74",""
"Female","296"
"Male","299"
"75+",""
"Female","278"
"Male","307"
