"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","30"
"Male","24"
"Brahman - Hill",""
"Female","3684"
"Male","2765"
"Chhetri",""
"Female","2152"
"Male","1582"
"Damai/Dholi",""
"Female","568"
"Male","435"
"Gharti/Bhujel",""
"Female","265"
"Male","235"
"Gurung",""
"Female","781"
"Male","615"
"Kami",""
"Female","1122"
"Male","825"
"Magar",""
"Female","91"
"Male","77"
"Musalman",""
"Female","22"
"Male","17"
"Newar",""
"Female","14"
"Male","9"
"Others",""
"Female","18"
"Male","18"
"Rai",""
"Female","5"
"Male","18"
"Sanyasi/Dasnami",""
"Female","16"
"Male","13"
"Sarki",""
"Female","450"
"Male","313"
"Tamang",""
"Female","9"
"Male","6"
