"Number of households by type of outer wall","Number"
"BambooWall","3834"
"Cement Bonded Bricks/Stone Wall","929"
"Mud Bonded Bricks/Stone Wall","212"
"Not stated","42"
"Others","2"
"Unbaked Bricks","9"
"Wood/Planks","229"
"Total","5257"
