"Agricultural land use area","Hectare"
"Area under arable land","93230.48"
"Area under meadows and pasture","743.95"
"Area under permanent crops","3438.10"
"Area under Temporary crops","92488.31"
"Area under temporary fallow","492.69"
"Area under temporary meadows","249.48"
"Other land","4384.04"
"Ponds","124.74"
"Woodland and forest","521.29"
