"Number of households by type of outer wall","Number"
"BambooWall","93918"
"Cement Bonded Bricks/Stone Wall","66326"
"Mud Bonded Bricks/Stone Wall","3455"
"Not stated","1216"
"Others","3251"
"Unbaked Bricks","227"
"Wood/Planks","15991"
"Total","184384"
