"Population by Caste Ethinicity","Number"
"Badi",""
"Female","8"
"Male","11"
"","19"
"Brahman - Hill",""
"Female","1259"
"Male","1212"
"","2471"
"Chhetri",""
"Female","2387"
"Male","2453"
"","4840"
"Damai/Dholi",""
"Female","423"
"Male","361"
"","784"
"Kami",""
"Female","765"
"Male","778"
"","1543"
"Lohar",""
"Female","195"
"Male","202"
"","397"
"Magar",""
"Female","10"
"Male","10"
"","20"
"Others",""
"Female","10"
"Male","25"
"","35"
"Sanyasi/Dasnami",""
"Female","2"
"Male","9"
"","11"
"Sarki",""
"Female","180"
"Male","192"
"","372"
"Thakuri",""
"Female","2673"
"Male","2601"
"","5274"
