"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","4"
"Cow Dung","2"
"Electricity","3"
"Kerosene","8"
"LP Gas","280"
"Not stated","21"
"Others","11"
"Wood/Firewood","5328"
"Total","5657"
