"Agricultural land use area","Hectare"
"Area under arable land","10477.00"
"Area under meadows and pasture","244.00"
"Area under permanent crops","573.00"
"Area under Temporary crops","10027.00"
"Area under temporary fallow","357.00"
"Area under temporary meadows","93.00"
"Other land","456.00"
"Ponds","10.00"
"Woodland and forest","598.00"
"Total","22835.00"
