"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","190"
"Cow Dung","12"
"Electricity Fuel","8"
"KeroseneFuel","81"
"LP Gas","3360"
"Not Sated about Fuel","72"
"OthersFuel","5"
"Wood/FireWood","23999"
"Total","27727"
