"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","83"
"Cow Dung","82"
"Electricity Fuel","2"
"KeroseneFuel","74"
"LP Gas","194"
"Not Sated about Fuel","282"
"OthersFuel","116"
"Wood/FireWood","47485"
"Total","48318"
