"Agricultural land use area","Hectare"
"Area under arable land","15936.00"
"Area under meadows and pasture","1196.00"
"Area under permanent crops","169.00"
"Area under Temporary crops","15254.00"
"Area under temporary fallow","535.00"
"Area under temporary meadows","147.00"
"Other land","696.00"
"Ponds","5.00"
"Woodland and forest","486.00"
"Total","34424.00"
