"Population by Mother tongue","Number"
"Achhami",""
"Female","45450"
"Male","37904"
"","83354"
"Bajureli",""
"Female","88"
"Male","26"
"","114"
"Doteli",""
"Female","309"
"Male","75"
"","384"
"Hindi",""
"Female","14"
"Male","45"
"","59"
"Kham",""
"Female","11"
"Male","7"
"","18"
"Magar",""
"Female","443"
"Male","469"
"","912"
"Maithili",""
"Female","54"
"Male","127"
"","181"
"Nepali",""
"Female","90608"
"Male","79561"
"","170169"
"Not Reported",""
"Female","20"
"Male","16"
"","36"
"Others",""
"Female","350"
"Male","419"
"","769"
"Rai",""
"Female","5"
"Male","6"
"","11"
"Santhali",""
"Female","19"
"Male","12"
"","31"
"Tamang",""
"Female","23"
"Male","25"
"","48"
"Tharu",""
"Female","10"
"Male","70"
"","80"
"Urdu",""
"Female","9"
"Male","13"
"","22"
