"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","2801"
"Mud Roof","172"
"Not Sated Roof","477"
"Other Type of Roof","105"
"RCC Roof","395"
"Thatch/Straw Roof","11568"
"Tile/Slate Roof","32778"
"Wood/Planks Roof","22"
"Total","48318"
