"Population by Caste Ethinicity","Number"
"Badi",""
"Female","403"
"Male","362"
"","765"
"Bangali",""
"Female","233"
"Male","215"
"","448"
"Bhote",""
"Female","18"
"Male","13"
"","31"
"Brahman - Hill",""
"Female","13973"
"Male","12085"
"","26058"
"Brahman - Tarai",""
"Female","5"
"Male","15"
"","20"
"Chhetri",""
"Female","76066"
"Male","66169"
"","142235"
"Dalit Others",""
"Female","22678"
"Male","18723"
"","41401"
"Damai/Dholi",""
"Female","4355"
"Male","3707"
"","8062"
"Dev",""
"Female","7"
"Male","4"
"","11"
"Gurung",""
"Female","8"
"Male","4"
"","12"
"Kalwar",""
"Female","6"
"Male","7"
"","13"
"Kami",""
"Female","12933"
"Male","11296"
"","24229"
"Kurmi",""
"Female","10"
"Male","12"
"","22"
"Limbu",""
"Female","4"
"Male","8"
"","12"
"Lohar",""
"Female","518"
"Male","432"
"","950"
"Magar",""
"Female","768"
"Male","790"
"","1558"
"Majhi",""
"Female","165"
"Male","150"
"","315"
"Musalman",""
"Female","101"
"Male","141"
"","242"
"Newar",""
"Female","57"
"Male","47"
"","104"
"Others",""
"Female","214"
"Male","211"
"","425"
"Rai",""
"Female","28"
"Male","33"
"","61"
"Sanyasi/Dasnami",""
"Female","256"
"Male","216"
"","472"
"Sarki",""
"Female","904"
"Male","741"
"","1645"
"Tamang",""
"Female","139"
"Male","107"
"","246"
"Teli",""
"Female","114"
"Male","108"
"","222"
"Terai Others",""
"Female","89"
"Male","84"
"","173"
"Thakuri",""
"Female","3327"
"Male","2981"
"","6308"
"Tharu",""
"Female","34"
"Male","114"
"","148"
