"Population by Five Years Age Group","Number"
"0-4",""
"Female","683"
"Male","696"
"10-14",""
"Female","1006"
"Male","1039"
"15-19",""
"Female","1009"
"Male","898"
"20-24",""
"Female","694"
"Male","416"
"25-29",""
"Female","565"
"Male","300"
"30-34",""
"Female","485"
"Male","302"
"35-39",""
"Female","466"
"Male","274"
"40-44",""
"Female","491"
"Male","290"
"45-49",""
"Female","426"
"Male","349"
"50-54",""
"Female","420"
"Male","397"
"55-59",""
"Female","344"
"Male","308"
"5-9",""
"Female","801"
"Male","831"
"60-64",""
"Female","360"
"Male","282"
"65-69",""
"Female","213"
"Male","237"
"70-74",""
"Female","180"
"Male","222"
"75+",""
"Female","294"
"Male","324"
