"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1782"
"Male","1507"
"Chhetri",""
"Female","321"
"Male","296"
"Dalit Others",""
"Female","7"
"Male","7"
"Damai/Dholi",""
"Female","259"
"Male","246"
"Ghale",""
"Female","162"
"Male","142"
"Gharti/Bhujel",""
"Female","120"
"Male","108"
"Gurung",""
"Female","2957"
"Male","2437"
"Kami",""
"Female","567"
"Male","546"
"Magar",""
"Female","203"
"Male","175"
"Marwadi",""
"Female","6"
"Male","7"
"Musalman",""
"Female","11"
"Male","11"
"Newar",""
"Female","182"
"Male","139"
"Others",""
"Female","24"
"Male","23"
"Sanyasi/Dasnami",""
"Female","8"
"Male","6"
"Sarki",""
"Female","685"
"Male","591"
"Sherpa",""
"Female","25"
"Male","14"
"Tamang",""
"Female","1114"
"Male","901"
"Tharu",""
"Female","4"
"Male","9"
